Value,Computed
Fall 16,09/01/2016-11/30/2016
Fall 2016,09/01/2016-11/30/2016
2016 Fall,09/01/2016-11/30/2016
Monsoon '16,06/01/2016-09/30/2016
Monsoon 16,06/01/2016-09/30/2016
Monsoon 2016,06/01/2016-09/30/2016
2016 Monsoon,06/01/2016-09/30/2016
Winter '17,12/01/2017-02/28/2018
Winter 17,12/01/2017-02/28/2018
Winter 2017,12/01/2017-02/28/2018
2017 Winter,12/01/2017-02/28/2018
Spring '17,03/01/2017-05/31/2017
Spring 17,03/01/2017-05/31/2017
Spring 2017,03/01/2017-05/31/2017
2017 Spring,03/01/2017-05/31/2017
Summer '17,06/01/2017-08/31/2017
Summer 17,06/01/2017-08/31/2017
Summer 2017,06/01/2017-08/31/2017
2017 Summer,06/01/2017-08/31/2017
Fall '17,09/01/2017-11/30/2017
Fall 17,09/01/2017-11/30/2017
Fall 2017,09/01/2017-11/30/2017
2017 Fall,09/01/2017-11/30/2017
Monsoon '17,06/01/2017-09/30/2017
Monsoon 17,06/01/2017-09/30/2017
Monsoon 2017,06/01/2017-09/30/2017
2017 Monsoon,06/01/2017-09/30/2017
Winter '18,12/01/2018-02/28/2019
Winter 18,12/01/2018-02/28/2019
Winter 2018,12/01/2018-02/28/2019
2018 Winter,12/01/2018-02/28/2019
Spring '18,03/01/2018-05/31/2018
Spring 18,03/01/2018-05/31/2018
Spring 2018,03/01/2018-05/31/2018
2018 Spring,03/01/2018-05/31/2018
Summer '18,06/01/2018-08/31/2018
Summer 18,06/01/2018-08/31/2018
Summer 2018,06/01/2018-08/31/2018
2018 Summer,06/01/2018-08/31/2018
Fall '18,09/01/2018-11/30/2018
Fall 18,09/01/2018-11/30/2018
Fall 2018,09/01/2018-11/30/2018
2018 Fall,09/01/2018-11/30/2018
Monsoon '18,06/01/2018-09/30/2018
Monsoon 18,06/01/2018-09/30/2018
Monsoon 2018,06/01/2018-09/30/2018
2018 Monsoon,06/01/2018-09/30/2018
Winter '19,12/01/2019-02/29/2020
Winter 19,12/01/2019-02/29/2020
Winter 2019,12/01/2019-02/29/2020
2019 Winter,12/01/2019-02/29/2020
Spring '19,03/01/2019-05/31/2019
Spring 19,03/01/2019-05/31/2019
Spring 2019,03/01/2019-05/31/2019
2019 Spring,03/01/2019-05/31/2019
Summer '19,06/01/2019-08/31/2019
Summer 19,06/01/2019-08/31/2019
Summer 2019,06/01/2019-08/31/2019
2019 Summer,06/01/2019-08/31/2019
Fall '19,09/01/2019-11/30/2019
Fall 19,09/01/2019-11/30/2019
Fall 2019,09/01/2019-11/30/2019
2019 Fall,09/01/2019-11/30/2019
Monsoon '19,06/01/2019-09/30/2019
Monsoon 19,06/01/2019-09/30/2019
Monsoon 2019,06/01/2019-09/30/2019
2019 Monsoon,06/01/2019-09/30/2019
Winter '20,12/01/2020-02/28/2021
Winter 20,12/01/2020-02/28/2021
Winter 2020,12/01/2020-02/28/2021
2020 Winter,12/01/2020-02/28/2021
Spring '20,03/01/2020-05/31/2020
Spring 20,03/01/2020-05/31/2020
Spring 2020,03/01/2020-05/31/2020
2020 Spring,03/01/2020-05/31/2020
Summer '20,06/01/2020-08/31/2020
Summer 20,06/01/2020-08/31/2020
Summer 2020,06/01/2020-08/31/2020
2020 Summer,06/01/2020-08/31/2020
Fall '20,09/01/2020-11/30/2020
Fall 20,09/01/2020-11/30/2020
Fall 2020,09/01/2020-11/30/2020
2020 Fall,09/01/2020-11/30/2020
Monsoon '20,06/01/2020-09/30/2020
Monsoon 20,06/01/2020-09/30/2020
Monsoon 2020,06/01/2020-09/30/2020
2020 Monsoon,06/01/2020-09/30/2020
Winter '21,12/01/2021-02/28/2022
Winter 21,12/01/2021-02/28/2022
Winter 2021,12/01/2021-02/28/2022
2021 Winter,12/01/2021-02/28/2022
Spring '21,03/01/2021-05/31/2021
Spring 21,03/01/2021-05/31/2021
Spring 2021,03/01/2021-05/31/2021
2021 Spring,03/01/2021-05/31/2021
Summer '21,06/01/2021-08/31/2021
Summer 21,06/01/2021-08/31/2021
Summer 2021,06/01/2021-08/31/2021
2021 Summer,06/01/2021-08/31/2021
Fall '21,09/01/2021-11/30/2021
Fall 21,09/01/2021-11/30/2021
Fall 2021,09/01/2021-11/30/2021
2021 Fall,09/01/2021-11/30/2021
Monsoon '21,06/01/2021-09/30/2021
Monsoon 21,06/01/2021-09/30/2021
Monsoon 2021,06/01/2021-09/30/2021
2021 Monsoon,06/01/2021-09/30/2021
Winter '22,12/01/2022-02/28/2023
Winter 22,12/01/2022-02/28/2023
Winter 2022,12/01/2022-02/28/2023
2022 Winter,12/01/2022-02/28/2023
Spring '22,03/01/2022-05/31/2022
Spring 22,03/01/2022-05/31/2022
Spring 2022,03/01/2022-05/31/2022
2022 Spring,03/01/2022-05/31/2022
Summer '22,06/01/2022-08/31/2022
Summer 22,06/01/2022-08/31/2022
Summer 2022,06/01/2022-08/31/2022
2022 Summer,06/01/2022-08/31/2022
Fall '22,09/01/2022-11/30/2022
Fall 22,09/01/2022-11/30/2022
Fall 2022,09/01/2022-11/30/2022
2022 Fall,09/01/2022-11/30/2022
Monsoon '22,06/01/2022-09/30/2022
Monsoon 22,06/01/2022-09/30/2022
Monsoon 2022,06/01/2022-09/30/2022
2022 Monsoon,06/01/2022-09/30/2022
Winter '23,12/01/2023-02/29/2024
Winter 23,12/01/2023-02/29/2024
Winter 2023,12/01/2023-02/29/2024
2023 Winter,12/01/2023-02/29/2024
Spring '23,03/01/2023-05/31/2023
Spring 23,03/01/2023-05/31/2023
Spring 2023,03/01/2023-05/31/2023
2023 Spring,03/01/2023-05/31/2023
Summer '23,06/01/2023-08/31/2023
Summer 23,06/01/2023-08/31/2023
Summer 2023,06/01/2023-08/31/2023
2023 Summer,06/01/2023-08/31/2023
Fall '23,09/01/2023-11/30/2023
Fall 23,09/01/2023-11/30/2023
Fall 2023,09/01/2023-11/30/2023
2023 Fall,09/01/2023-11/30/2023
Monsoon '23,06/01/2023-09/30/2023
Monsoon 23,06/01/2023-09/30/2023
Monsoon 2023,06/01/2023-09/30/2023
2023 Monsoon,06/01/2023-09/30/2023
Winter '24,12/01/2024-02/28/2025
Winter 24,12/01/2024-02/28/2025
Winter 2024,12/01/2024-02/28/2025
2024 Winter,12/01/2024-02/28/2025
Spring '24,03/01/2024-05/31/2024
Spring 24,03/01/2024-05/31/2024
Spring 2024,03/01/2024-05/31/2024
2024 Spring,03/01/2024-05/31/2024
Summer '24,06/01/2024-08/31/2024
Summer 24,06/01/2024-08/31/2024
Summer 2024,06/01/2024-08/31/2024
2024 Summer,06/01/2024-08/31/2024
Fall '24,09/01/2024-11/30/2024
Fall 24,09/01/2024-11/30/2024
Fall 2024,09/01/2024-11/30/2024
2024 Fall,09/01/2024-11/30/2024
Monsoon '24,06/01/2024-09/30/2024
Monsoon 24,06/01/2024-09/30/2024
Monsoon 2024,06/01/2024-09/30/2024
2024 Monsoon,06/01/2024-09/30/2024
Winter '25,12/01/2025-02/28/2026
Winter 25,12/01/2025-02/28/2026
Winter 2025,12/01/2025-02/28/2026
2025 Winter,12/01/2025-02/28/2026
Spring '25,03/01/2025-05/31/2025
Spring 25,03/01/2025-05/31/2025
Spring 2025,03/01/2025-05/31/2025
2025 Spring,03/01/2025-05/31/2025
Summer '25,06/01/2025-08/31/2025
Summer 25,06/01/2025-08/31/2025
Summer 2025,06/01/2025-08/31/2025
2025 Summer,06/01/2025-08/31/2025
Fall '25,09/01/2025-11/30/2025
Fall 25,09/01/2025-11/30/2025
Fall 2025,09/01/2025-11/30/2025
2025 Fall,09/01/2025-11/30/2025
Monsoon '25,06/01/2025-09/30/2025
Monsoon 25,06/01/2025-09/30/2025
Monsoon 2025,06/01/2025-09/30/2025
2025 Monsoon,06/01/2025-09/30/2025
Winter '26,12/01/2026-02/28/2027
Winter 26,12/01/2026-02/28/2027
Winter 2026,12/01/2026-02/28/2027
2026 Winter,12/01/2026-02/28/2027
Spring '26,03/01/2026-05/31/2026
Spring 26,03/01/2026-05/31/2026
Spring 2026,03/01/2026-05/31/2026
2026 Spring,03/01/2026-05/31/2026
Summer '26,06/01/2026-08/31/2026
Summer 26,06/01/2026-08/31/2026
Summer 2026,06/01/2026-08/31/2026
2026 Summer,06/01/2026-08/31/2026
Fall '26,09/01/2026-11/30/2026
Fall 26,09/01/2026-11/30/2026
Fall 2026,09/01/2026-11/30/2026
2026 Fall,09/01/2026-11/30/2026
Monsoon '26,06/01/2026-09/30/2026
Monsoon 26,06/01/2026-09/30/2026
Monsoon 2026,06/01/2026-09/30/2026
2026 Monsoon,06/01/2026-09/30/2026
Winter '27,12/01/2027-02/29/2028
Winter 27,12/01/2027-02/29/2028
Winter 2027,12/01/2027-02/29/2028
2027 Winter,12/01/2027-02/29/2028
Spring '27,03/01/2027-05/31/2027
Spring 27,03/01/2027-05/31/2027
Spring 2027,03/01/2027-05/31/2027
2027 Spring,03/01/2027-05/31/2027
Summer '27,06/01/2027-08/31/2027
Summer 27,06/01/2027-08/31/2027
Summer 2027,06/01/2027-08/31/2027
2027 Summer,06/01/2027-08/31/2027
Fall '27,09/01/2027-11/30/2027
Fall 27,09/01/2027-11/30/2027
Fall 2027,09/01/2027-11/30/2027
2027 Fall,09/01/2027-11/30/2027
Monsoon '27,06/01/2027-09/30/2027
Monsoon 27,06/01/2027-09/30/2027
Monsoon 2027,06/01/2027-09/30/2027
2027 Monsoon,06/01/2027-09/30/2027
Winter '28,12/01/2028-02/28/2029
Winter 28,12/01/2028-02/28/2029
Winter 2028,12/01/2028-02/28/2029
2028 Winter,12/01/2028-02/28/2029
Spring '28,03/01/2028-05/31/2028
Spring 28,03/01/2028-05/31/2028
Spring 2028,03/01/2028-05/31/2028
2028 Spring,03/01/2028-05/31/2028
Summer '28,06/01/2028-08/31/2028
Summer 28,06/01/2028-08/31/2028
Summer 2028,06/01/2028-08/31/2028
2028 Summer,06/01/2028-08/31/2028
Fall '28,09/01/2028-11/30/2028
Fall 28,09/01/2028-11/30/2028
Fall 2028,09/01/2028-11/30/2028
2028 Fall,09/01/2028-11/30/2028
Monsoon '28,06/01/2028-09/30/2028
Monsoon 28,06/01/2028-09/30/2028
Monsoon 2028,06/01/2028-09/30/2028
2028 Monsoon,06/01/2028-09/30/2028
Winter '29,12/01/2029-02/28/2030
Winter 29,12/01/2029-02/28/2030
Winter 2029,12/01/2029-02/28/2030
2029 Winter,12/01/2029-02/28/2030
Spring '29,03/01/2029-05/31/2029
Spring 29,03/01/2029-05/31/2029
Spring 2029,03/01/2029-05/31/2029
2029 Spring,03/01/2029-05/31/2029
Summer '29,06/01/2029-08/31/2029
Summer 29,06/01/2029-08/31/2029
Summer 2029,06/01/2029-08/31/2029
2029 Summer,06/01/2029-08/31/2029
Fall '29,09/01/2029-11/30/2029
Fall 29,09/01/2029-11/30/2029
Fall 2029,09/01/2029-11/30/2029
2029 Fall,09/01/2029-11/30/2029
Monsoon '29,06/01/2029-09/30/2029
Monsoon 29,06/01/2029-09/30/2029
Monsoon 2029,06/01/2029-09/30/2029
2029 Monsoon,06/01/2029-09/30/2029
Winter '30,12/01/2030-02/28/2031
Winter 30,12/01/2030-02/28/2031
Winter 2030,12/01/2030-02/28/2031
2030 Winter,12/01/2030-02/28/2031
Spring '30,03/01/2030-05/31/2030
Spring 30,03/01/2030-05/31/2030
Spring 2030,03/01/2030-05/31/2030
2030 Spring,03/01/2030-05/31/2030
Summer '30,06/01/2030-08/31/2030
Summer 30,06/01/2030-08/31/2030
Summer 2030,06/01/2030-08/31/2030
2030 Summer,06/01/2030-08/31/2030
Fall '30,09/01/2030-11/30/2030
Fall 30,09/01/2030-11/30/2030
Fall 2030,09/01/2030-11/30/2030
2030 Fall,09/01/2030-11/30/2030
Monsoon '30,06/01/2030-09/30/2030
Monsoon 30,06/01/2030-09/30/2030
Monsoon 2030,06/01/2030-09/30/2030
2030 Monsoon,06/01/2030-09/30/2030
Winter '31,12/01/2031-02/29/2032
Winter 31,12/01/2031-02/29/2032
Winter 2031,12/01/2031-02/29/2032
2031 Winter,12/01/2031-02/29/2032
Spring '31,03/01/2031-05/31/2031
Spring 31,03/01/2031-05/31/2031
Spring 2031,03/01/2031-05/31/2031
2031 Spring,03/01/2031-05/31/2031
Summer '31,06/01/2031-08/31/2031
Summer 31,06/01/2031-08/31/2031
Summer 2031,06/01/2031-08/31/2031
2031 Summer,06/01/2031-08/31/2031
Fall '31,09/01/2031-11/30/2031
Fall 31,09/01/2031-11/30/2031
Fall 2031,09/01/2031-11/30/2031
2031 Fall,09/01/2031-11/30/2031
Monsoon '31,06/01/2031-09/30/2031
Monsoon 31,06/01/2031-09/30/2031
Monsoon 2031,06/01/2031-09/30/2031
2031 Monsoon,06/01/2031-09/30/2031
Winter '32,12/01/2032-02/28/2033
Winter 32,12/01/2032-02/28/2033
Winter 2032,12/01/2032-02/28/2033
2032 Winter,12/01/2032-02/28/2033
Spring '32,03/01/2032-05/31/2032
Spring 32,03/01/2032-05/31/2032
Spring 2032,03/01/2032-05/31/2032
2032 Spring,03/01/2032-05/31/2032
Summer '32,06/01/2032-08/31/2032
Summer 32,06/01/2032-08/31/2032
Summer 2032,06/01/2032-08/31/2032
2032 Summer,06/01/2032-08/31/2032
Fall '32,09/01/2032-11/30/2032
Fall 32,09/01/2032-11/30/2032
Fall 2032,09/01/2032-11/30/2032
2032 Fall,09/01/2032-11/30/2032
Monsoon '32,06/01/2032-09/30/2032
Monsoon 32,06/01/2032-09/30/2032
Monsoon 2032,06/01/2032-09/30/2032
2032 Monsoon,06/01/2032-09/30/2032
Winter '33,12/01/2033-02/28/2034
Winter 33,12/01/2033-02/28/2034
Winter 2033,12/01/2033-02/28/2034
2033 Winter,12/01/2033-02/28/2034
Spring '33,03/01/2033-05/31/2033
Spring 33,03/01/2033-05/31/2033
Spring 2033,03/01/2033-05/31/2033
2033 Spring,03/01/2033-05/31/2033
Summer '33,06/01/2033-08/31/2033
Summer 33,06/01/2033-08/31/2033
Summer 2033,06/01/2033-08/31/2033
2033 Summer,06/01/2033-08/31/2033
Fall '33,09/01/2033-11/30/2033
Fall 33,09/01/2033-11/30/2033
Fall 2033,09/01/2033-11/30/2033
2033 Fall,09/01/2033-11/30/2033
Monsoon '33,06/01/2033-09/30/2033
Monsoon 33,06/01/2033-09/30/2033
Monsoon 2033,06/01/2033-09/30/2033
2033 Monsoon,06/01/2033-09/30/2033
Winter '34,12/01/2034-02/28/2035
Winter 34,12/01/2034-02/28/2035
Winter 2034,12/01/2034-02/28/2035
2034 Winter,12/01/2034-02/28/2035
Spring '34,03/01/2034-05/31/2034
Spring 34,03/01/2034-05/31/2034
Spring 2034,03/01/2034-05/31/2034
2034 Spring,03/01/2034-05/31/2034
Summer '34,06/01/2034-08/31/2034
